titulo,link,noticia,data_publicacao
"FRANGO/CEPEA: Após recordes em março, exportação começa abril em ritmo intenso",https://www.cepea.esalq.usp.br/br/diarias-de-mercado/frango-cepea-apos-recordes-em-marco-exportacao-comeca-abril-em-ritmo-intenso.aspx,"Cepea, 14/04/2023 &ndash; O setor av&iacute;cola nacional acredita que o desempenho das exporta&ccedil;&otilde;es brasileiras de carne de frango em abril seja parecido com o de mar&ccedil;o, quando as vendas externas da prote&iacute;na (considerando-se produtos in natura e processados) atingiram recordes em volume e em receita, considerando-se toda a s&eacute;rie hist&oacute;ria da Secex, iniciada em 1997. Na parcial deste m&ecirc;s, a Secex aponta que os embarques di&aacute;rios seguem intensos, registrando m&eacute;dia de 32,6 mil toneladas, bem acima das 20,4 mil toneladas de abril do ano passado. Em mar&ccedil;o, o resultado recorde foi garantido pelos maiores embarques ao Jap&atilde;o, China e M&eacute;xico &ndash; de fevereiro para mar&ccedil;o,","Thu, 13 Apr 2023 15:55:05 -0300"
"CITROS/CEPEA: Oferta de tahiti diminui em SP, e preços reagem",https://www.cepea.esalq.usp.br/br/diarias-de-mercado/citros-cepea-oferta-de-tahiti-diminui-em-sp-e-precos-reagem.aspx,"Cepea, 14/04/2023 &ndash; Nos primeiros meses de 2023, a oferta de lima &aacute;cida tahiti do estado de S&atilde;o Paulo esteve bastante elevada, o que resultou em quedas de pre&ccedil;os. Pesquisadores do Cepea indicam, contudo, que, desde meados de mar&ccedil;o, a disponibilidade da fruta no estado paulista vem diminuindo, permitindo que os valores da tahiti registrem recupera&ccedil;&otilde;es &ndash; inclusive, produtores indicam que os valores atuais come&ccedil;am a garantir certa rentabilidade. Na parcial de abril (at&eacute; o dia 13), a variedade tem m&eacute;dia de R$ 24,57/cx de 27 kg, colhida, altas de 19,5% frente &agrave; de mar&ccedil;o/23 e de 56,7% em rela&ccedil;&atilde;o &agrave; de abril de 2022, em termos nominais","Thu, 13 Apr 2023 15:50:37 -0300"
O Boletim do Suíno de março está disponível no site!,https://www.cepea.esalq.usp.br/br/releases/o-boletim-do-suino-de-marco-esta-disponivel-no-site-2.aspx,"Cepea, 13/04/2023&nbsp;&ndash; O Cepea (Centro de Estudos Avan&ccedil;ados em Economia Aplicada), da Esalq/USP, disponibiliza hoje o Boletim do Su&iacute;no de mar&ccedil;o de 2023.

&nbsp;","Wed, 12 Apr 2023 16:03:11 -0300"
TILÁPIA/CEPEA: Firme demanda na Quaresma eleva preço da tilápia em março,https://www.cepea.esalq.usp.br/br/diarias-de-mercado/tilapia-cepea-firme-demanda-na-quaresma-eleva-preco-da-tilapia-em-marco.aspx,"Cepea, 13/04/2023 &ndash; As cota&ccedil;&otilde;es da til&aacute;pia avan&ccedil;aram em mar&ccedil;o &ndash; trata-se do oitavo m&ecirc;s consecutivo de alta. Esse movimento resultou da demanda aquecida e da oferta restrita de animais. Segundo agentes consultados pelo Cepea, a procura por parte da ind&uacute;stria, do varejo, das redes de food service e de feiras costuma aumentar no per&iacute;odo da Quaresma, que &eacute; considerada a melhor &eacute;poca do ano para o setor","Wed, 12 Apr 2023 15:26:18 -0300"
BOI/CEPEA: Arroba do boi volta a ser negociada acima do valor da carne,https://www.cepea.esalq.usp.br/br/diarias-de-mercado/boi-cepea-arroba-do-boi-volta-a-ser-negociada-acima-do-valor-da-carne.aspx,"Cepea, 13/04/2023 &ndash; Os pre&ccedil;os do boi gordo est&atilde;o mais firmes no mercado paulista. Segundo pesquisadores do Cepea, al&eacute;m da retomada dos envios de carne bovina &agrave; China, a possibilidade de manter o gado no pasto, devido &agrave;s condi&ccedil;&otilde;es mais favor&aacute;veis das pastagens, tamb&eacute;m refor&ccedil;a a sustenta&ccedil;&atilde;o aos valores internos da arroba. J&aacute; no mercado atacadista da Grande S&atilde;o Paulo, o ritmo de vendas da carne bovina segue lento, o que mant&eacute;m os pre&ccedil;os da carca&ccedil;a praticamente est&aacute;veis","Wed, 12 Apr 2023 14:58:26 -0300"
SUÍNOS/CEPEA: Preços do vivo têm comportamentos distintos dentre regiões,https://www.cepea.esalq.usp.br/br/diarias-de-mercado/suinos-cepea-precos-do-vivo-tem-comportamentos-distintos-dentre-regioes.aspx,"Cepea, 13/04/2023 &ndash; As movimenta&ccedil;&otilde;es no mercado independente de su&iacute;no vivo foram distintas dentre as regi&otilde;es acompanhadas pelo Cepea nos &uacute;ltimos dias. Nas pra&ccedil;as em que a oferta est&aacute; ligeiramente menor, os valores reagiram, influenciados tamb&eacute;m pela leve melhora na procura por animais neste in&iacute;cio de m&ecirc;s. J&aacute; nas regi&otilde;es em que a oferta de animais ainda est&aacute; elevada e acima da demanda, os pre&ccedil;os seguiram em queda","Wed, 12 Apr 2023 14:57:17 -0300"
ARROZ/CEPEA: Demanda aquecida mantém Indicador firme,https://www.cepea.esalq.usp.br/br/diarias-de-mercado/arroz-cepea-demanda-aquecida-mantem-indicador-firme.aspx,"Cepea, 12/04/2023 &ndash; Os valores do arroz em casca est&atilde;o firmes neste come&ccedil;o de abril, de acordo com dados do Cepea. De modo geral, a demanda est&aacute; mais aquecida, com unidades de beneficiamento buscando lotes do cereal em regi&otilde;es ga&uacute;chas mais afastadas do destino e/ou para outros estados. TRANSA&Ccedil;&Otilde;ES EXTERNAS &ndash; As transa&ccedil;&otilde;es internacionais envolvendo o arroz seguiram firmes em mar&ccedil;o, com aumento das importa&ccedil;&otilde;es e das exporta&ccedil;&otilde;es","Tue, 11 Apr 2023 15:55:56 -0300"
ALGODÃO/CEPEA: Valores internos seguem em queda neste início de abril,https://www.cepea.esalq.usp.br/br/diarias-de-mercado/algodao-cepea-valores-internos-seguem-em-queda-neste-inicio-de-abril.aspx,"Cepea, 12/04/2023 &ndash; Os pre&ccedil;os do algod&atilde;o em pluma continuam em baixa no Brasil, e os atuais patamares j&aacute; s&atilde;o os mais baixos desde janeiro de 2021, em termos nominais. De acordo com informa&ccedil;&otilde;es do Cepea, este cen&aacute;rio &eacute; resultado da menor paridade de exporta&ccedil;&atilde;o, do grande volume excedente da temporada passada e da expectativa de safra ainda maior neste ano. A alta disponibilidade exigir&aacute; exporta&ccedil;&otilde;es ainda maiores para os pr&oacute;ximos meses","Tue, 11 Apr 2023 15:52:57 -0300"
CAFÉ/CEPEA: Ritmo de negócios está lento no mercado interno,https://www.cepea.esalq.usp.br/br/diarias-de-mercado/cafe-cepea-ritmo-de-negocios-esta-lento-no-mercado-interno.aspx,"Cepea, 12/04/2023 &ndash; O ritmo de comercializa&ccedil;&atilde;o de caf&eacute; segue bastante lento no mercado spot nacional. Segundo colaboradores do Cepea, cafeicultores est&atilde;o atentos ao campo, iniciando a colheita e/ou se preparando para as atividades da safra 2023/24, enquanto compradores v&ecirc;m adquirindo apenas pequenos lotes, envolvendo baixos volumes, quando h&aacute; necessidade. Os poucos vendedores ativos no mercado s&oacute; realizam neg&oacute;cios a pre&ccedil;os maiores","Tue, 11 Apr 2023 15:49:17 -0300"
HF BRASIL/CEPEA: Produção de abacate cresce com força no Brasil,https://www.cepea.esalq.usp.br/br/releases/hf-brasil-cepea-producao-de-abacate-cresce-com-forca-no-brasil.aspx,,"Mon, 10 Apr 2023 17:03:07 -0300"
