data,titulo,materia
13/04/2023 15:45,IBGE eleva previsão de safra de café do Brasil,"O Brasil deverá produzir 55,7 milhões de sacas de 60 kg de café em 2023, aumentos de 0,7% em relação ao previsto no mês anterior e de 6,5% em relação a 2022, estimou nesta quinta-feira o Instituto Brasileiro de Geografia e Estatística (IBGE). A alta anual se deve à recuperação da safra de café arábica, que responde pela maior parte da colheita brasileira, enquanto a produção de grãos canéforas cairá ante 2022, segundo o instituto. Para o café arábica, o IBGE estimou 38,5 milhões de sacas de 60 kg, declínio de 0,3% em relação a previsão anterior, mas um aumento de 13,4% ante o ano anterior. ""Para 2023, a bienalidade da safra deveria ser negativa, mas como não houve problemas climáticos durante o inverno de 2022, aguarda-se um aumento da produção"", comentou o relatório. Para o café canéfora (robusta e conilon), a estimativa da produção é de 17,2 milhões de sacas, aumento de 2,9% em relação ao mês anterior e declínio de 6,3% em relação ao ano anterior. A estimativa foi divulgada em momento em que a colheita brasileira está em fase inicial. (Por Roberto Samora)"
13/04/2023 15:18,"Colheita do milho vai à 12% na Argentina e produtividade média é de 65 sc/ha, diz BCBA","Nesta quinta-feira (13), a Bolsa de Cereais de Buenos Aires (BCBA) trouxe sua atualização de reportes sobre a safra de milho da temporada 2022/23 na Argentina, destacando que os rendimentos começam a se estabilizar conforme a colheita avança.    “À medida que as colheitadeiras se movem em direção ao meio da janela de plantio, os rendimentos começam a se estabilizar. Até o momento, o avanço nacional está localizado em 12,7% da área apta, marcando uma produtividade média nacional de 65 sc/ha”, aponta.     Diante disso, os dados da Bolsa mantêm a projeção de produção em 36 milhões de toneladas, 16 milhões a menos do que a safra passada.    “A falta de chuvas abundantes e a chegada de uma frente fria melhoram as condições para a queda da umidade dos grãos dos lotes mais avançados de cereais de verão”, diz a BCBA.  No momento, a BCBA classifica as lavouras de milho da Argentina com 6% em condições boas ou excelentes, 41% normais e 53% regulares ou ruins. Além disso, 54% da área tem condição hídrica adequada ou ótima e 46% regular ou seca.         Na semana passada, esses índices eram de 7% boas ou excelentes, 41% médias e 52% ruins. Do lado das condições hídricas, 55% das lavouras estavam como ótimas ou adequadas e 45% com regulares ou secas.  "
13/04/2023 14:51,"Plano Safra dará incentivos a produtores com CAR regularizado, diz Capobianco","O novo Plano Safra, a ser divulgado em maio pelo governo brasileiro, reservará mais crédito e com melhores condições de juros e pagamento a agricultores que passarem a adotar práticas de agricultura sustentável, a começar pela regularização do registro no Cadastro Ambiental Rural (CAR). De acordo com o secretário-executivo do Ministério do Meio Ambiente, João Paulo Capobianco, o registro do CAR --que até hoje enfrenta resistência de parte do setor agropecuário-- seria o primeiro nível em uma escala de comprometimento ambiental, que passaria também por medidas como plantio direto e outros métodos sustentáveis de produção. Quanto mais verde, melhores condições de crédito o agricultor terá. ""Não vai ter um limite. Todo agricultor que investir nessas ações será beneficiado"", disse Capobianco. O detalhamento das medidas ainda está sendo negociado em um grupo formado pelos ministérios do Meio Ambiente, Agricultura, Fazenda e Desenvolvimento Agrário. Não há ainda, por exemplo, os valores de desconto nos juros para cada faixa de avanço dos produtores em direção à agricultura sustentável, o que vai ter de ser definido a partir dos recursos disponíveis para o governo equalizar os empréstimos. No entanto, a decisão de que todo o Plano Safra terá um componente verde já está tomada. O formato não vai impedir o produtor que não tomou ainda quaisquer medidas de ter direito a crédito no principal programa de financiamento governamental da agricultura, mas ele pagará mais caro por isso. Atualmente, o governo tem, dentro do Plano Safra anual, uma pequena parcela dedicada a agricultura de baixo carbono. O chamado programa ABC, no entanto, representa apenas 2% dos valores disponíveis para crédito anualmente. O Plano Safra 2022/23 ofertou um recorde de 340,88 bilhões de reais em financiamentos para produtores brasileiros, considerando todas as linhas. A ideia agora é todos que iniciarem algum tipo de ação ambiental possam ter condições melhores de crédito. ""Vamos criar uma escala de envolvimento do produtor rural no processo de modernizar a agropecuária para incorporar técnicas de baixo carbono. À medida que vai avançando --começando com a regularização no CAR, até mais avançado, como uso de técnicas de plantio direto, fixação de carbono do solo-- vamos ter diferenciações de acesso ao crédito, juros, em uma maneira de estimular esse avanço"", disse o secretário-executivo. A ideia tem o apoio do Ministério da Agricultura, em uma relação de parceria raramente vista em ministérios que, normalmente, são antagônicos, e tem surpreendido os dois lados. No entanto, já durante a campanha eleitoral, o atual ministro da Agricultura, Carlos Fávaro, e seu assessor especial, Carlos Ernesto Augustin, que prepararam propostas para Lula na área de agricultura, previam medidas nesse sentido. O Plano Safra verde é confirmado pelo Ministério da Agricultura. ""A base vai ser a diferença de taxas de juros para o comprometimento ambiental"", disse Augustin à Reuters. ""Ainda falta ver os custos, a viabilidade econômica, mas essa decisão está tomada."" Em outra frente, o governo brasileiro quer investimento estrangeiro para financiar a recuperação e o plantio de áreas degradadas para a agricultura de baixo carbono, e já atraiu o interesse da comerciante chinesa de produtos agrícolas Cofco International. ACELERAR O CAR O plano com incentivos à agricultura mais verde é um dos componentes do Plano de Ação para Prevenção e Controle do Desmatamento na Amazônia Legal (PPCDAm), colocado esta semana em consulta pública pelo Ministério de Meio Ambiente. Um dos quatro eixos da propostas é o incentivo a atividades produtivas sustentáveis e outro, o avanço no Ordenamento Territorial e Fundiário. Uma das metas do governo é acelerar a regularização dos registros no CAR. Atualmente, a maioria está apenas na fase de autodeclaração, sem as verificações locais exigidas. A falta dessa segunda etapa de regularização, diz o ministério, faz com que existam 140 mil cadastros ativos no CAR cujas delimitações de terras se sobrepõem a áreas públicas, áreas protegidas e terras indígenas. ""É necessário o direcionamento de esforços para tornar pendentes, suspender e/ou cancelar os registros de CAR sobrepostos a essas áreas"", diz a proposta. A falta da regulamentação, aponta o ministério, levou a um aumento no desmatamento ilegal dentro de áreas de lotes registrados no CAR. Os dados mostram que 54% do desmatamento da Amazônia em 2022 ocorreu dentro de imóveis rurais inscritos no CAR, sendo que diferentes estimativas apontam que entre 82% e 98% seriam ilegais. (Reportagem de Lisandra Paraguassu)"
13/04/2023 14:17,Colômbia divulga queda de 13% na produção de arábica e declínio de 19% na exportação,
13/04/2023 13:57,"Economia global está atolada em crescimento fraco e inflação pegajosa, diz chefe do FMI","Por David Lawder e Andrea Shalal WASHINGTON (Reuters) - A diretora-gerente do Fundo Monetário Internacional (FMI), Kristalina Georgieva, disse nesta quinta-feira que a economia global se mostrou notavelmente resiliente a vários choques, mas ainda não superou uma combinação de crescimento fraco e inflação persistente. A projeção do Fundo de crescimento global de 2,8% para 2023 ""não é suficiente para trazer oportunidades para empresas e pessoas em todo o mundo, e o mais preocupante é a projeção de crescimento fraco por um longo período de tempo"", disse Georgieva em coletiva de imprensa nas reuniões do FMI e do Banco Mundial da primavera norte-americana em Washington. O FMI alertou na terça-feira que um novo surto de turbulência no sistema bancário que sufoca empréstimos e desencadeia uma busca por ativos considerados seguros pode levar o crescimento global de volta a 1%, o que jogaria muitas economias em recessão e colocaria grandes tensões nas economias de mercados emergentes. “Os bancos centrais devem abordar os riscos de estabilidade financeira quando eles surgirem, trabalhando em estreita colaboração com reguladores e supervisores”, disse Georgieva. ""A chave é monitorar os riscos que podem estar escondidos nas sombras, em bancos e instituições financeiras não bancárias ou em setores como o imobiliário comercial."" O FMI emitiu sua projeção de crescimento global mais baixa em cinco anos desde que começou a emitir tais previsões em 1990, com estimativa base de crescimento de 2,8% em 2023, que depois deve pairar em cerca de 3% até 2028. Georgieva afirmou que isso se deve à produtividade atrasada e ao potencial de fragmentação da economia global. As previsões ""não são horríveis. Não estamos em recessão"", disse ela. ""Na minha opinião, não estamos em um bom lugar, vemos os riscos aumentando, mas agora temos um histórico de notável resiliência nos últimos anos."""
13/04/2023 13:49,"Não deixe a segurança da cadeia de suprimentos levar a uma nova Guerra Fria, diz chefe do FMI","Por Andrea Shalal e David Lawder WASHINGTON (Reuters) - A diretora-gerente do Fundo Monetário Internacional, Kristalina Georgieva, alertou autoridades nesta quinta-feira contra o perigo de uma nova Guerra Fria no momento em que eles intensificam os esforços para proteger suas cadeias de oferta industrial, em meio às tensões geopolíticas entre as grandes potências. ""A questão é: podemos estar mais determinados a aumentar a segurança da oferta, mas não levar o mundo tão longe a ponto de entrarmos em uma segunda Guerra Fria?"", disse Georgieva em coletiva de imprensa nas reuniões de primavera do FMI e do Banco Mundial, em Washington. ""Eu acredito que é possível."" Georgieva, que cresceu na Bulgária durante a era soviética, disse que vivenciou a Guerra Fria e seu impacto ao eliminar pessoas talentosas da economia mundial, e não quer que isso se repetisse. Na quarta-feira, os líderes financeiros do G7 se comprometeram a dar aos países de baixa e média rendas um papel maior na diversificação das cadeias de oferta para torná-los mais resilientes e sustentáveis. Seu comunicado não mencionava a China pelo nome, mas a linguagem de cadeia de oferta se encaixa nos esforços de ""contar com amigos"" defendidos pela secretária do Tesouro dos EUA, Janet Yellen, e outros líderes ocidentais para negociar mais com aliados e tornar-se menos dependente da potência manufatureira asiática em baterias, minerais, semicondutores e outros bens estratégicos. O FMI alertou neste mês que o aumento das tensões geopolíticas e a fragmentação resultante da economia global poderiam aumentar os riscos à estabilidade financeira, potencialmente reduzindo a produção econômica global entre 0,2% e 7%. Georgieva disse que as autoridades podem ter que aceitar que o desenvolvimento de novas cadeias de ofertas mais separadas envolveria algum custo, mas poderiam manter esses custos baixos continuando a trabalhar juntos por meio de instituições como o FMI. “A segurança da oferta e o funcionamento confiável das cadeias globais estão assumindo um lugar novo e de maior prioridade nas discussões econômicas”, disse ela, citando o impacto da pandemia de Covid e da guerra na Ucrânia. ""Se não formos mais racionais, as pessoas de todos os lugares ficarão em situação pior. A classe média de cada país pagará um preço"", disse Georgieva. ""Portanto, um pouco mais de cabeça fria nos levará um longo caminho."" RECUPERAÇÃO DA CHINA O FMI há muito alerta para os custos elevados, atritos econômicos e perdas de produção do PIB associados à fragmentação da economia global em blocos geopolíticos, com democracias lideradas pelos EUA de um lado e China e outros Estados autocráticos de outro. Isso pode levar a sistemas de tecnologia concorrentes e comércio reduzido. Um novo documento de trabalho do FMI mostrou que tais tensões crescentes também podem levar a saídas de capital, incluindo investimento direto, com riscos particularmente altos para economias de mercados em desenvolvimento e emergentes. O FMI prevê uma forte recuperação da China em 2023, devido à abertura pós-Covid, e será responsável por cerca de um terço do crescimento global este ano, disse Georgieva. O presidente do Banco Mundial, David Malpass, disse que as fortes previsões de crescimento para a China também refletem os ""esforços explícitos"" do país asiático para reconstruir as cadeias de oferta e ter um processo de abertura mais rápido."
13/04/2023 13:48,"Reuters: Em reunião com Lula, BYD diz que seguirá com fábrica na Bahia mesmo sem acordo com Ford, dizem fontes","Por Lisandra Paraguassu BRASÍLIA (Reuters) - O grupo automotivo chinês BYD deve manter o projeto de ter uma fábrica de veículos elétricos e híbridos na Bahia mesmo que o acordo para compra das antigas instalações da Ford no Estado não siga adiante, disseram à Reuters três fontes que acompanharam a reunião dos executivos da empresa com o presidente Luiz Inácio Lula da Silva, nesta quinta-feira, em Xangai. De acordo com as fontes, ainda será feita uma tentativa de acordo com a montadora norte-americana, com a criação de um grupo de trabalho entre as duas empresas, o governo da Bahia e o governo federal para tentar resolver o impasse com a Ford. No entanto, durante a reunião foi colocado na mesa a possibilidade da BYD usar outro terreno, do governo da Bahia, para construir uma fábrica do zero, em vez de usar as antigas instalações da Ford no polo industrial de Camaçari. Segundo as fontes, os chineses deixaram claro que não teriam problema em fazer suas próprias instalações, já que construíram uma nova fábrica na China em apenas nove meses e a adaptação do complexo industrial da Ford, voltado a carros com motor a combustão, teria que ser totalmente adaptado. ""Eles ressaltaram que às vezes adaptar é mais demorado que fazer do zero"", disse um dos presentes à reunião. Em outubro de 2022, a BYD e o governo da Bahia assinaram um memorando de entendimento para um investimento de 3 bilhões de reais. A expectativa era de que o acordo fosse concluído até dezembro. As empresas têm afirmado apenas que as negociações têm prosseguido. Fonte ligada à empresa afirmou em março que documentos para a assinatura final do acordo chegaram a ser enviados à matriz da Ford nos Estados Unidos, e que não havia ""nenhum entrave às negociações"". Fabricante de carros, caminhões e ônibus elétricos, além de baterias para outras montadoras e produtos como módulos fotovoltaicos, a BYD hoje disputa com a norte-americana Tesla a liderança global na produção de carros elétricos. Procuradas, Ford afirmou que não comenta o assunto e BYD não pode se manifestar de imediato."
13/04/2023 13:46,"B3 despenca mais 2,5% nesta quinta-feira e milho vai à casa dos R$ 72,00",
13/04/2023 13:22,Faesc apoia decisão da CNA em defesa das propriedades rurais,"A Federação da Agricultura e Pecuária do Estado de Santa Catarina (Faesc) apoia a medida da Confederação da Agricultura e Pecuária do Brasil (CNA) em defesa das propriedades rurais brasileiras. A CNA protocolou, nesta semana, no Supremo Tribunal Federal (STF) ação com pedido de liminar para impedir invasões de propriedades rurais em todo o território nacional. “Apoiamos essa medida que é fundamental para salvaguardar as propriedades rurais brasileiras, que são responsáveis por produzir alimentos de qualidade, não apenas para nossa nação, mas para o mundo. Não compactuamos com essas ameaças à violação dos direitos privados. Pedimos atenção integral aos órgãos de segurança”, enfatiza o presidente do Sistema Faesc/Senar-SC, José Zeferino Pedrozo. O pedido judicial da CNA leva em consideração as graves e iminentes ameaças de promoção de múltiplas invasões de propriedades rurais no país, denominadas de “Abril de Lutas” ou “Abril Vermelho”. A CNA solicita ao STF a determinação ao Movimento dos Trabalhadores Rurais Sem Terra (MST) e à Frente Nacional de Lutas Campo e Cidade (FNL), bem como outros grupos organizados, que suspendam imediatamente qualquer política ou estratégia de promoção de invasões de terras, sob pena de atribuição de responsabilidade civil e penal aos participantes e dirigentes de tais movimentos. Outro pedido formulado pela CNA refere-se à suspensão dos canais, perfis ou contas relacionadas aos grupos organizados e de suas lideranças no Telegram, Whatsapp, Twitter, Youtube, Instagram e Tiktok, com o intuito de evitar que manifestações de incitação à prática de crime de invasões de terras sejam divulgadas. A CNA também pede que o Ministério da Justiça e o Departamento de Polícia Federal apresentem as informações sobre ações criminosas que estão sendo planejadas e de que o Governo Federal crie um grupo de acompanhamento com a participação dos Estados, entidades representativas da agropecuária e suas Federações para evitar as invasões de propriedades rurais. O pedido também sugere medidas de prevenção como elaboração de programa específico de combate às invasões de terras no Brasil; divulgação de informações sobre movimentação e localização de acompanhamento de grupos organizados que planejam invasões; destinação de força policial para acompanhamento dessas atividades e para que procedam com prisões imediatas dos participantes desses grupos organizados que forem flagrados em atos. Ainda pede a criação de unidades especializadas de prevenção e combate à criminalidade em regiões rurais e determinação para que governadores e secretários de segurança pública atuem imediatamente com forças policiais após recebimento da ocorrência de invasão de propriedade rural. Leia mais: + CNA protocola pedido de liminar no STF para barrar invasões pelo MST a propriedades rurais"
13/04/2023 13:12,Mercado do açúcar segue operando com altas na tarde desta 5ª feira em NY,"As cotações futuras do açúcar seguem com valorizações nas bolsas de Nova York e Londres nesta tarde desta quinta-feira (13). Por volta das 13H06 (horário de Brasília), o vencimento Maio/23 do açúcar do tipo bruto tinha alta de 0,30% e cotado em 24,35 cents/lb.  Já o contrato julho/23 apresentava avanço de 0,34% e estava sendo negociado em 23,68 cents/lb, enquanto o outubro/23 está precificado em 23,37 cents/lb e com ganho de 0,32%.  Já no terminal de Londres, o vencimento Maio/23 do tipo branco tinha alta de  6,00%, a US$ 699,90 a tonelada. O contrato Agosto/23 tinha valorização de 2,30% e negociado em US$ 672,30 a tonelada.  De acordo com o Analista em Inteligência da StoneX, Marcelo Di Bonifácio Filho, o mercado está acompanhando a safra de cana-de-açúcar na Índia, na qual pode ter uma quebra e também ficar ausente das exportações. “Nós estamos vindo de um primeiro trimestre com um déficit na safra internacional, em que a Índia deixou em embarcar 5 milhões de toneladas e a Tailândia está sendo a grande fornecedora neste primeiro momento”, comentou. "
