,data,titulo,url,noticia,qtde_palavras_soja,data_hora,ano,mes
4276,15/08/2016,SOJA/CEPEA: Demanda impulsiona valor nos EUA; preço segue em queda no BR,https://www.cepea.esalq.usp.br/br/diarias-de-mercado/soja-cepea-demanda-impulsiona-valor-nos-eua-preco-segue-em-queda-no-br.aspx,"Cepea, 15/08/2016 - Os preços da soja e derivados subiram nos Estados Unidos na última semana, impulsionados pela maior demanda externa. Importadores foram atraídos pelos menores valores naquele país, onde as cotações foram pressionadas pela desvalorização do dólar frente a uma cesta de moedas, inclusive o Real. Já no Brasil, os preços da soja em grão e do farelo seguiram em queda, influenciados justamente pela queda da moeda norte-americana, que desfavorece as vendas nacionais. O Indicador da soja Paranaguá ESALQ/BM&FBovespa, referente ao grão depositado no corredor de exportação e negociado na modalidade spot (pronta entrega), no porto de Paranaguá (PR), recuou 1,09% entre 5 e 12 de agosto, fechando a R$ 79,90/saca de 60 kg na sexta-feira, 12. A média ponderada da soja no Paraná, refletida no Indicador CEPEA/ESALQ, cedeu 0,2% em sete dias, a R$ 75,94/saca 60 kg nessa sexta. Atentos à possibilidade de que Argentina não consiga abastecer a demanda global de farelo e óleo de soja, vendedores brasileiros que ainda têm soja para comercializar estão retraídos. Como o Brasil é o segundo maior exportador mundial de farelo e óleo de soja, a demanda internacional poderia ser deslocada para o País. Além disso, a oferta de soja no Brasil é baixa. Colaboradores do Cepea indicam que há apenas cerca de 15% da safra para ser negociada",8.0,2016-08-15,2016.0,8.0
6130,07/10/2013,SOJA/CEPEA: Exportação atinge recorde e processamento cai no Brasil,https://www.cepea.esalq.usp.br/br/diarias-de-mercado/soja-cepea-exportacao-atinge-recorde-e-processamento-cai-no-brasil.aspx,"Cepea, 07/10/2013 - As exportações da soja em grão têm atingido patamares recordes em 2013. Os embarques são impulsionados pelo valor em dólar recebido pelo exportador nacional, que é o maior da história. Esse cenário, por sua vez, resultou em disputa pela soja no mercado interno e também num dos menores volumes processados pela indústria brasileira nos últimos anos. De janeiro a setembro/13, o Brasil exportou 40,6 milhões de toneladas de soja em grão, volume 23,4% acima do embarcado em todo o ano de 2012 - dados da Secex. Nestes nove meses de 2013, os embarques geraram receita de US$ 21,6 bilhões, 23,9% a mais que no agregado de 2012. O preço médio de exportação em 2013 é de US$ 32,02/sc de 60 kg, o maior de toda a série história. No mercado interno, o processamento da soja está bem abaixo da média. Dados da Abiove (Associação Brasileira das Indústrias de Óleos Vegetais) apontam que, de fevereiro a agosto de 2013, foram processadas apenas 18,2 milhões de toneladas de soja em grão, o menor volume desde 2006. A menor disponibilidade interna de derivados, por sua vez, deve favorecer uma reação nos preços, especialmente nos de farelo de soja.",6.0,2013-10-07,2013.0,10.0
5166,27/04/2015,SOJA/CEPEA: Negociações estão atipicamente lentas no spot nacional,https://www.cepea.esalq.usp.br/br/diarias-de-mercado/soja-cepea-negociacoes-estao-atipicamente-lentas-no-spot-nacional.aspx,"Cepea, 27/04/2015 - As negociações envolvendo a soja em grão estão atipicamente lentas no mercado físico brasileiro. Pesquisadores do Cepea relatam que, no final da última semana, o cenário foi agravado por novos protestos de caminhoneiros. Sem acordo com o governo federal quanto a um possível valor mínimo para o transporte de mercadorias, caminhoneiros voltaram a paralisar as atividades em muitos estados. Com isso, tanto compradores quanto vendedores de soja, que já estavam trabalhando em meio a problemas logísticos, agora temem ser prejudicados por atrasos mais intensos na entrega e no recebimento da soja e derivados. Na paralisação anterior, em fevereiro, houve grande atraso nas entregas de soja e derivados, principalmente para exportação. Com isso, importadores podem intensificar a compra de soja dos Estados Unidos. Vale lembrar que o enfraquecimento do dólar nas últimas semanas e problemas logísticos no Brasil já vinham direcionando o comprador externo aos Estados Unidos. Esse cenário, por sua vez, tem elevado as cotações da soja na CME Group (Bolsa de Chicago) e deixado os preços apenas nominais no Brasil.",6.0,2015-04-27,2015.0,4.0
9811,25/10/2006,TRIGO: Trigo alcança o preço da soja,https://www.cepea.esalq.usp.br/br/diarias-de-mercado/trigo-trigo-alcanca-o-preco-da-soja.aspx,"Cepea, 25/10/2006 - O preço do trigo é hoje equivalente ao da soja no Sul do Brasil, fato que não ocorria há mais de dez anos. No estado do Paraná, por exemplo, uma saca de trigo costumava valer, em média, 0,72 saca de soja. A relação atual de preços trigo/soja no estado é de 0,98, ou seja, os preços atuais do trigo e da soja são praticamente iguais. No Rio Grande do Sul, uma saca de trigo costuma valer, em média, 0,67 sacas de soja. A relação atual de preços trigo/soja neste estado é de 1,02, com variações entre 0,99 a 1,02 no mercado de balcão e entre 1,00 a 1,05 no mercado de lotes. A valorização atual do trigo também é expressiva sobre o milho. A relação histórica de preços trigo/milho é de 1,36 no Rio Grande do Sul e de 1,50 no Paraná. Atualmente, a paridade de preços trigo/milho é de 1,73 no mercado gaúcho e de 1,87 no Paraná.",6.0,2006-10-25,2006.0,10.0
6605,10/12/2012,SOJA/CEPEA: Mercado segue lento no Brasil,https://www.cepea.esalq.usp.br/br/diarias-de-mercado/soja-cepea-mercado-segue-lento-no-brasil.aspx,"Cepea, 10/12/2012 - Com agentes preocupados com o desenvolvimento da safra e com cerca de 50% da produção já comercializada, a liquidez no mercado brasileiro de soja segue baixa, inclusive para contratos antecipados. No mercado físico, praticamente não há lotes disponíveis. Além das incertezas quanto à safra da América do Sul, os preços da soja seguem impulsionados também pela retomada das importações da China e pela dificuldade de escoamento tanto da produção quanto de insumos nos Estados Unidos devido ao baixo nível de água em rios como o Mississipi. Apesar disso, o USDA sinalizou que, na semana encerrada em 29 de novembro, mais de 1,1 milhão de toneladas de soja foram embarcadas, em boa parte, para a China. Já as exportações brasileiras de soja em novembro refletiram a oferta escassa no mercado doméstico. Os volumes embarcados em novembro se assemelharam aos do final de 2010, ano em que o ritmo de exportação havia sido acelerado até agosto, como nesta temporada. Dados da Secex mostram a saída de apenas 259 mil toneladas de soja em grão, 71,4% a menos que em outubro e 85,3% abaixo de novembro de 2011. Entretanto, na parcial do ano, o País exportou 32,78 milhões de toneladas de soja, 4% acima dos 31,51 milhões no mesmo período de 2011. ",6.0,2012-12-10,2012.0,12.0
4383,25/07/2016,SOJA/CEPEA: Valores caem mais de 6% e liquidez diminui,https://www.cepea.esalq.usp.br/br/diarias-de-mercado/soja-cepea-valores-caem-mais-de-6-e-liquidez-diminui.aspx,"Cepea, 25/07/2016 - As boas condições das lavouras de soja nos Estados Unidos e as demandas mundial e brasileira enfraquecidas resultaram em queda nos valores domésticos da soja na última semana. Segundo pesquisadores do Cepea, houve aumento na diferença entre os valores oferecidos por compradores e pedidos por vendedores brasileiros, cenário que reduziu a liquidez no mercado. Assim, os valores estiveram praticamente nominais, com negociações ocorrendo apenas quando houve necessidade imediata. O Indicador da soja Paranaguá ESALQ/BM&FBovespa, referente ao grão depositado no corredor de exportação e negociado na modalidade spot (pronta entrega), no porto de Paranaguá (PR), recuou significativos 6,5% entre 15 e 22 de julho, fechando a R$ 83,76/saca de 60 kg na sexta-feira, 22. A média ponderada da soja no Paraná, refletida no Indicador CEPEA/ESALQ, também cedeu expressivos 6,75% em sete dias, a R$ 78,72/saca 60 kg na sexta. Mesmo diante das recentes quedas, produtores e comerciantes que têm soja disponível para comercializar estão retraídos, aguardando a definição da safra norte-americana. Além disso, vendedores domésticos esperam por maior demanda por parte de algumas indústrias esmagadoras do mercado brasileiro, as quais sinalizam estar com estoques baixos. -www.cepea.esalq.usp.br",5.0,2016-07-25,2016.0,7.0
1022,,"SOJA/CEPEA: Dólar recorde impulsiona valores, que já ultrapassam R$ 92,00/sc",https://www.cepea.esalq.usp.br/br/diarias-de-mercado/soja-cepea-dolar-recorde-impulsiona-valores-que-ja-ultrapassam-r-92-00-sc.aspx,"Cepea, 9/3/2020 – O dólar em patamar recorde segue elevando os preços da soja no mercado brasileiro, à medida que torna o grão mais atrativo aos importadores. Entre 28 de fevereiro e 6 de março, os Indicadores ESALQ/BM&FBovespa da soja Paranaguá (PR) e CEPEA/ESALQ Paraná subiram expressivos 3,2% e 4,1%, com respectivos fechamentos a R$ 92,80/sc de 60 kg e a R$ 86,32/sc, na sexta-feira, 6. Esses são os maiores patamares nominais desde o início de outubro de 2018. Na sexta-feira, a moeda norte-americana atingiu R$ 4,629, expressiva valorização de 3% se comparada à sexta-feira anterior. Segundo colaboradores do Cepea, apesar das altas, parte dos sojicultores esteve focada na colheita da oleaginosa, preferindo aguardar novas valorizações para negociar maiores volumes. A cautela dos vendedores está fundamentada também na possível redução da oferta do complexo soja da Argentina no mercado internacional, que pode favorecer as vendas brasileiras. O aumento da taxa sobre as exportações (“retenciones”) de soja e derivados foi oficializado e entrou em vigor na quinta-feira, 5 – a alíquota passou de 30% para 33%. Como a Argentina é a principal exportadora mundial de farelo e óleo de soja, o aumento no tributo desse país pode levar os consumidores internacionais a adquirir maiores volumes do Brasil e dos Estados Unidos. Fonte: Cepea – ",5.0,,,
3933,29/05/2017,SOJA/CEPEA: Comercialização de derivados aumenta,https://www.cepea.esalq.usp.br/br/diarias-de-mercado/soja-cepea-comercializacao-de-derivados-aumenta.aspx,"Cepea, 29/05/2017 – A firme demanda por farelo e óleo de soja, a taxa cambial atrativa aos vendedores brasileiros e o atraso na colheita de soja na Argentina têm motivado novas negociações envolvendo derivados no Brasil. Segundo pesquisadores do Cepea, a disputa por farelo de soja entre os mercados nacional e o internacional está maior, o que elevou os preços domésticos do derivado. Importadores foram atraídos para o Brasil, devido à menor oferta na Argentina, uma vez que o excesso de umidade tem dificultado a colheita e afastado vendedores do mercado daquele país. A procura por óleo de soja também está aquecida, especialmente pelo setor de biodiesel, enquanto a oferta está reduzida. Quanto à soja em grão, a comercialização está mais enfraquecida no mercado spot, mas alguns produtores já começam a mostrar interesse em comercializar a safra 2017/18. Apenas alguns lotes têm sido negociados no mercado brasileiro, visto que vendedores estão na expectativa de preços maiores nas próximas semanas, fundamentados na firme demanda por derivados e no dólar mais elevado. ",5.0,2017-05-29,2017.0,5.0
3078,,SOJA/CEPEA: Semeadura avança no BR; preços caem,https://www.cepea.esalq.usp.br/br/diarias-de-mercado/soja-cepea-semeadura-avanca-no-br-precos-caem.aspx,"Cepea, 26/9/2022 – Favorecida pela maior umidade do solo, a semeadura da nova safra de soja avança no Brasil, sobretudo no Paraná, em Mato Grosso e em São Paulo. Apesar de preocupações com possíveis impactos negativos que o La Niña pode causar, especialmente no Sul do País, o clima entre agentes é de otimismo. Segundo colaboradores do Cepea, esse cenário levou parte dos agricultores a liquidar uma parcela da soja remanescente da safra 2021/22, resultando em queda nas cotações da oleaginosa no Brasil. Além disso, a ligeira desvalorização do dólar frente ao Real, que tende a deixar o produto nacional menos atrativo aos estrangeiros, também pressionou um pouco os preços domésticos – o dólar recuou 0,11% de 16 a 23 de setembro, a R$ 5,251 na sexta-feira, 23. Entre 15 e 22 de setembro, os Indicadores ESALQ/BM&FBovespa – Paranaguá (PR) e CEPEA/ESALQ – Paraná da soja recuaram 1,1% e 1,18%, com respectivos fechamentos de R$ 184,87/sc e de R$ 179,52/sc de 60 kg na sexta-feira. Vale ressaltar que as baixas internas da soja em grão foram limitadas pelo avanço dos preços externos. A colheita da oleaginosa nos Estados Unidos também se iniciou, mas as atividades estão lentas frente às últimas temporadas. Além disso, as exportações norte-americanas cresceram 52% entre as duas últimas semanas. Na parcial deste mês, os embarques de soja superaram em 81% o volume escoado na parcial de setembro de 2021. Fonte: Cepea (www.cepea.esalq.usp.br)",5.0,,,
3673,,SOJA/CEPEA: Valorização do óleo impulsiona preços da soja em grão,https://www.cepea.esalq.usp.br/br/diarias-de-mercado/soja-cepea-valorizacao-do-oleo-impulsiona-precos-da-soja-em-grao.aspx,"Cepea, 28/8/2017 – Os preços da soja estão em alta, tanto no mercado doméstico quanto no internacional. Segundo pesquisadores do Cepea, esse cenário está atrelado às valorizações do óleo de soja na Bolsa de Chicago, que, por sua vez, refletem a possibilidade da imposição de tarifas de importação por parte dos Estados Unidos sobre o biodiesel da Argentina e da Indonésia, o que poderia favorecer a produção de biodiesel dentro dos EUA e, consequentemente, elevar a demanda por óleo de soja. Mesmo assim, segundo colaboradores do Cepea, a receita obtida pelas indústrias nacionais com o esmagamento da oleaginosa continuam apertadas (ou até mesmo negativas). Entre 18 e 25 de agosto, o Indicador da soja ESALQ/BM&FBovespa Paranaguá permaneceu praticamente estável (+0,04%), a R$ 69,51/sc de 60 kg na sexta-feira, 25. O Indicador CEPEA/ESALQ Paraná também permaneceu estável no período, fechando a R$ 63,72/sc de 60 kg na sexta. Quanto ao óleo de soja, os valores avançaram 1,9% na média das regiões acompanhadas pelo Cepea, a R$ 2.672,91/tonelada (posto na cidade de São Paulo com 12% de ICMS) no dia 25. ",5.0,,,
